Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Islington - Clerkenwell,00AUGB,E05000370,12350,11.7,8.3,13444.4,12.9,22.5
Islington - Finsbury Park,00AUGC,E05000371,15300,17.6,8.6,16555.6,11.8,27.2
Islington - Highbury East,00AUGD,E05000372,12150,18.4,9.8,11950,6.3,15.7
Islington - Highbury West,00AUGE,E05000373,16400,16.2,6.5,14363.6,11.4,17.7
Islington - Hillrise,00AUGF,E05000374,12350,18.5,9.4,15125,7.7,19.6
Islington - Holloway,00AUGG,E05000375,16050,15.1,7.7,15750,13.7,28.8
Islington - Junction,00AUGH,E05000376,12950,15.4,9.7,12600,8.6,15.8
Islington - Mildmay,00AUGJ,E05000377,13500,18.3,7.7,16625,13.9,24.4
Islington - St. George's,00AUGK,E05000378,13100,16.2,9.5,16062.5,8.7,22.2
Islington - St. Mary's,00AUGL,E05000379,12500,13.8,9.5,13500,11.4,21.8
Islington - St. Peter's,00AUGM,E05000380,13200,14.9,8.9,15687.5,9.1,22.9
Islington - Tollington,00AUGN,E05000381,13900,17.5,8.1,17062.5,9.1,24.1
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700,16.2,13.3,16916.7,n/a,n/a
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900,14.2,14.6,8700,n/a,n/a
Kensington and Chelsea - Campden,00AWGA,E05000384,8250,16.9,13.6,8944.4,5.2,21.4
Kensington and Chelsea - Colville,00AWGB,E05000385,8400,14.4,12.2,20625,14,22
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100,12.8,10.7,17700,n/a,n/a
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250,15,17.7,13250,11,21.1
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300,12.1,9.8,18100,6.4,19.5
Kensington and Chelsea - Golborne,00AWGF,E05000389,9600,17.4,11.1,10111.1,13.3,20.6
Kensington and Chelsea - Hans Town,00AWGG,E05000390,8850,13.9,16.6,14416.7,n/a,n/a
Kensington and Chelsea - Holland,00AWGH,E05000391,9850,18.6,13.6,9600,12,16
Kensington and Chelsea - Norland,00AWGJ,E05000392,8750,18.3,17.2,12214.3,n/a,23
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,9750,19.1,13.7,15750,n/a,23.9
Kensington and Chelsea - Pembridge,00AWGL,E05000394,7700,14,12.3,15100,n/a,n/a
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,9950,14.8,10.4,16166.7,n/a,n/a
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,9300,15.3,12.1,13000,n/a,23.9
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,7350,13.6,21.7,7944.4,n/a,30.8
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,9600,18.6,11.6,13285.7,n/a,23.7
Kensington and Chelsea - Stanley,00AWGR,E05000399,8250,15.5,16,11571.4,7.7,18.6
Kingston upon Thames - Alexandra,00AXFX,E05000400,9700,19.7,16.6,3537,7.6,20.6
Kingston upon Thames - Berrylands,00AXFY,E05000401,9800,18.2,15.4,6466.7,4.6,8.6
Kingston upon Thames - Beverley,00AXFZ,E05000402,10450,20.8,13.1,5447.4,6.5,13.1
Kingston upon Thames - Canbury,00AXGA,E05000403,13300,23.4,8.5,10791.7,3.8,12.1
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,9000,20.1,15.3,4710.5,9.8,23.8
